Volume (pixel^3),Surface (pixel^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (pixel),SD dist. to surf. (pixel),Median dist. to surf. (pixel),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
1668,1100,1668,531,802308,481.000,0.000,481,481,481,259.616,468.856,21.650,7.207,1.374,6.892,259.614,468.861,21.651,254,462,12,13,14,21
1076,818,1076,439,504644,469.000,0.000,469,469,469,7.455,512.352,18.912,6.160,1.213,6.067,7.455,512.352,18.912,2,505,12,12,12,17
463,450,463,220,193534,418.000,0.000,418,418,418,504.073,49.525,17.803,4.448,0.722,4.468,504.073,49.525,17.803,500,44,13,9,10,12
348,458,348,199,157644,453.000,0.000,453,453,453,352.339,79.825,19.072,4.227,1.178,4.333,352.339,79.825,19.072,349,76,13,9,10,13
127,212,127,79,53340,420.000,0.000,420,420,420,356.614,87.929,17.669,2.854,0.646,2.836,356.614,87.929,17.669,354,86,13,7,5,10
2609,1532,2609,758,1275801,489.000,0.000,489,489,489,465.081,103.273,21.788,8.451,1.746,8.433,465.081,103.273,21.788,458,93,13,15,21,20
20,64,20,16,7260,363.000,0.000,363,363,363,36.250,161.500,14.500,1.446,0.319,1.601,36.250,161.500,14.500,35,160,13,4,4,4
995,862,995,409,472625,475.000,0.000,475,475,475,362.802,180.612,22.080,6.364,1.867,5.993,362.803,180.612,22.080,358,176,13,11,11,20
1125,1046,1125,488,567000,504.000,0.000,504,504,504,105.456,191.975,23.670,6.728,1.960,6.625,105.456,191.975,23.670,100,185,13,13,13,23
913,722,913,330,417241,457.000,0.000,457,457,457,190.396,195.740,19.642,5.668,0.583,5.607,190.396,195.740,19.642,185,191,13,12,11,15
612,712,612,459,281520,460.000,0.000,460,460,460,333.639,221.778,24.569,6.317,2.600,6.395,333.640,221.778,24.569,329,217,13,9,11,19
140,220,140,85,59500,425.000,0.000,425,425,425,46.257,259.321,17.686,2.994,0.703,2.915,46.257,259.321,17.686,44,257,13,6,6,10
32,88,32,25,11808,369.000,0.000,369,369,369,437.594,284.719,15.219,1.746,0.476,1.762,437.594,284.719,15.219,436,283,13,4,4,6
345,456,345,205,121095,351.000,0.000,351,351,351,501.699,361.681,18.258,4.674,1.688,4.704,501.699,361.681,18.258,498,358,13,8,10,16
2272,1592,2272,742,1058752,466.000,0.000,466,466,466,66.066,410.726,23.295,8.341,2.255,8.332,66.066,410.726,23.295,59,401,13,15,19,26
2185,1708,2185,916,1540425,705.000,0.000,705,705,705,512.577,477.721,31.801,9.727,3.939,9.122,512.577,477.725,31.801,507,470,13,10,15,35
887,744,887,360,383184,432.000,0.000,432,432,432,59.104,481.497,18.212,5.841,1.404,5.709,59.104,481.497,18.212,55,474,13,10,17,12
371,414,371,182,166579,449.000,0.000,449,449,449,108.369,498.768,18.960,4.167,0.745,4.078,108.369,498.768,18.960,104,495,13,10,9,13
2065,1472,2065,849,1259650,610.000,0.000,610,610,610,303.599,511.448,28.668,8.575,2.952,7.699,303.599,511.450,28.668,298,506,13,13,11,34
84,164,84,57,34944,416.000,0.000,416,416,416,328.679,8.524,17.845,2.465,0.634,2.375,328.679,8.524,17.845,326,7,14,6,4,9
1376,1170,1376,614,778816,566.000,0.000,566,566,566,139.794,16.682,28.124,8.356,3.501,8.187,139.795,16.682,28.124,135,12,14,11,11,31
1098,872,1098,426,517158,471.000,0.000,471,471,471,317.320,34.685,20.908,6.148,1.031,6.051,317.320,34.685,20.908,311,29,14,13,13,15
1997,1552,1997,831,786684,393.933,9.899,397,362,397,338.260,97.738,22.992,8.094,1.965,7.857,338.264,97.757,23.061,332,89,14,13,16,23
935,868,935,406,469370,502.000,0.000,502,502,502,84.053,144.631,24.112,6.132,1.775,6.011,84.054,144.631,24.112,79,140,14,11,10,21
246,446,246,167,111684,454.000,0.000,454,454,454,42.150,147.638,20.069,4.028,1.331,3.987,42.150,147.638,20.069,38,144,14,12,8,12
392,424,392,190,178360,455.000,0.000,455,455,455,458.837,166.946,19.515,4.306,0.908,4.169,458.838,166.947,19.515,456,162,14,7,11,12
752,712,752,354,342912,456.000,0.000,456,456,456,38.669,179.793,20.922,5.440,1.215,5.349,38.669,179.793,20.922,34,174,14,11,11,15
1375,1042,1375,511,721875,525.000,0.000,525,525,525,137.558,187.940,24.105,6.743,1.545,6.774,137.558,187.940,24.105,133,181,14,10,15,21
3212,2130,3212,992,1689512,526.000,0.000,526,526,526,466.947,201.213,23.528,9.358,2.306,9.499,466.948,201.213,23.528,455,192,14,25,21,21
1469,1076,1469,521,809419,551.000,0.000,551,551,551,506.771,214.690,26.773,7.201,2.019,6.756,506.771,214.690,26.773,500,210,14,14,11,25
452,470,452,247,182608,404.000,0.000,404,404,404,378.212,231.082,17.071,4.445,0.853,4.437,378.212,231.082,17.071,373,227,14,13,10,7
2248,1724,2248,843,1112760,495.000,0.000,495,495,495,382.760,311.097,24.355,8.513,2.413,8.231,382.760,311.097,24.355,374,301,14,20,18,26
3083,2108,3083,1003,1828219,593.000,0.000,593,593,593,247.811,320.165,31.618,9.765,3.227,9.252,247.811,320.166,31.618,241,312,14,17,16,36
3907,1916,3907,1067,2074617,531.000,0.000,531,531,531,32.922,382.146,25.210,9.670,1.941,9.601,32.922,382.145,25.210,25,370,14,16,26,21
6877,3336,6877,1782,4662606,678.000,0.000,678,678,678,51.096,431.439,36.882,13.354,4.747,12.380,51.096,431.439,36.882,40,422,14,21,20,48
108,186,108,70,46332,429.000,0.000,429,429,429,507.120,426.537,17.657,2.734,0.739,2.561,507.120,426.537,17.657,505,424,14,5,6,9
915,728,915,343,441030,482.000,0.000,482,482,482,83.470,471.578,21.675,5.795,1.104,5.565,83.470,471.578,21.675,78,467,14,12,10,17
248,352,248,143,102672,414.000,0.000,414,414,414,506.899,483.964,16.891,3.946,1.275,3.798,506.899,483.964,16.891,503,479,14,9,13,7
1135,1014,1135,505,607225,535.000,0.000,535,535,535,314.313,46.546,26.886,6.431,1.753,6.374,314.313,46.546,26.886,308,40,15,12,14,21
575,662,575,283,271975,473.000,0.000,473,473,473,404.558,83.607,21.687,5.502,1.862,5.223,404.558,83.607,21.687,400,76,15,12,14,17
45,100,45,33,17820,396.000,0.000,396,396,396,363.400,95.289,17.400,1.919,0.389,1.857,363.400,95.289,17.400,362,94,15,4,4,6
1022,920,1022,448,514066,503.000,0.000,503,503,503,44.379,165.930,22.520,6.005,1.202,5.910,44.379,165.930,22.520,39,159,15,12,13,17
1585,1120,1585,527,916130,578.000,0.000,578,578,578,440.441,168.536,27.108,7.139,1.549,6.787,440.440,168.536,27.108,435,162,15,12,14,24
2340,1470,2340,737,1298700,555.000,0.000,555,555,555,150.523,273.022,25.266,8.370,1.954,8.055,150.523,273.023,25.266,144,266,15,14,16,24
2117,1358,2117,786,1287136,608.000,0.000,608,608,608,231.414,463.679,29.126,8.193,2.095,8.075,231.414,463.679,29.126,224,459,15,15,14,23
3780,2072,3780,1036,2056320,544.000,0.000,544,544,544,164.915,477.190,27.671,9.902,2.454,9.481,164.915,477.189,27.671,157,469,15,19,18,28
6346,3406,6346,1751,4118554,649.000,0.000,649,649,649,216.417,506.835,35.377,12.126,3.232,12.173,216.419,506.842,35.378,204,497,15,27,20,40
3084,2018,3084,1130,1884324,611.000,0.000,611,611,611,319.024,511.984,31.436,9.864,3.135,9.225,319.024,511.985,31.436,311,503,15,21,14,35
717,616,717,290,366387,511.000,0.000,511,511,511,488.184,16.180,23.980,5.269,0.936,5.108,488.184,16.180,23.980,484,11,16,9,11,16
472,524,472,248,246384,522.000,0.000,522,522,522,115.417,72.748,25.422,5.205,1.989,4.758,115.417,72.748,25.422,113,69,16,6,8,21
2124,1642,2124,768,1204308,567.000,0.000,567,567,567,406.537,102.594,28.226,7.937,1.787,7.910,406.538,102.594,28.226,399,95,16,14,20,25
99,168,99,64,43164,436.000,0.000,436,436,436,31.879,121.879,19.283,2.585,0.531,2.466,31.879,121.879,19.283,30,120,16,5,5,8
1159,844,1159,411,607316,524.000,0.000,524,524,524,179.343,178.801,24.566,6.224,1.060,6.044,179.344,178.801,24.566,175,173,16,10,13,18
2728,1806,2728,958,1042096,382.000,0.000,382,382,382,231.369,218.365,24.415,8.871,2.108,8.810,231.370,218.364,24.415,225,208,16,16,22,24
348,464,348,194,179568,516.000,0.000,516,516,516,272.491,278.520,23.411,4.507,1.475,4.323,272.491,278.520,23.411,269,275,16,8,8,17
1858,1334,1858,691,715330,385.000,0.000,385,385,385,327.278,289.300,20.953,7.515,1.394,7.411,327.276,289.297,20.953,319,281,16,21,16,15
444,534,444,232,239760,540.000,0.000,540,540,540,414.827,303.196,25.721,5.168,1.999,4.510,414.827,303.196,25.721,412,297,16,7,12,20
8411,4258,8411,2231,5408273,643.000,0.000,643,643,643,320.193,310.574,32.373,13.291,3.423,13.156,320.197,310.564,32.373,308,295,16,24,32,37
1757,1410,1757,625,982163,559.000,0.000,559,559,559,239.867,333.968,25.418,7.475,1.861,7.372,239.868,333.968,25.418,232,324,16,15,19,19
513,530,513,295,266760,520.000,0.000,520,520,520,160.012,2.509,25.690,5.005,1.677,4.615,160.012,2.509,25.690,156,0,17,9,7,19
3949,2436,3949,1221,2365451,599.000,0.000,599,599,599,141.102,144.974,33.547,10.184,3.046,10.039,141.102,144.975,33.547,133,135,17,16,22,32
440,506,440,268,222200,505.000,0.000,505,505,505,301.757,208.650,22.945,4.579,1.155,4.553,301.757,208.650,22.945,295,203,17,10,11,14
719,650,719,306,369566,514.000,0.000,514,514,514,164.712,217.355,24.121,5.439,1.216,5.146,164.711,217.354,24.121,159,213,17,11,10,17
1751,1128,1751,584,968303,553.000,0.000,553,553,553,134.381,254.216,27.419,7.398,1.525,7.145,134.380,254.216,27.419,129,247,17,12,14,22
1531,1080,1531,553,852767,557.000,0.000,557,557,557,7.403,294.301,26.664,6.892,1.215,6.707,7.403,294.300,26.664,3,288,17,11,16,20
2147,1416,2147,723,1296788,604.000,0.000,604,604,604,501.158,312.061,29.160,8.190,2.199,8.160,501.160,312.061,29.160,495,304,17,14,18,25
779,668,779,305,412870,530.000,0.000,530,530,530,485.354,348.384,25.318,5.467,1.012,5.151,485.354,348.384,25.318,481,344,17,10,10,18
5058,3130,5058,1531,3555774,703.000,0.000,703,703,703,9.769,351.975,39.430,11.322,3.394,10.725,9.769,351.971,39.430,0,342,17,22,20,41
4100,2330,4100,1191,2648600,646.000,0.000,646,646,646,294.444,390.840,33.045,10.171,2.571,9.785,294.443,390.839,33.046,287,382,17,16,21,32
572,556,572,254,284284,497.000,0.000,497,497,497,309.297,451.166,22.372,4.827,0.671,4.786,309.297,451.165,22.372,304,447,17,12,10,13
128,218,128,89,63744,498.000,0.000,498,498,498,204.695,464.773,21.781,3.087,1.082,2.748,204.695,464.773,21.781,203,462,17,5,6,12
481,552,481,225,244829,509.000,0.000,509,509,509,102.696,485.684,22.503,4.778,1.162,4.811,102.696,485.684,22.503,97,481,17,11,11,13
196,264,196,113,94668,483.000,0.000,483,483,483,115.327,492.985,20.964,3.302,0.635,3.208,115.327,492.984,20.964,113,490,17,6,7,10
3153,1972,3153,983,2002155,635.000,0.000,635,635,635,223.458,493.088,34.173,9.661,2.768,9.230,223.458,493.084,34.173,216,485,17,15,18,33
1852,1378,1852,762,1244544,672.000,0.000,672,672,672,291.559,511.327,32.825,8.762,3.257,7.972,291.559,511.327,32.825,286,505,17,12,12,33
133,208,133,81,64638,486.000,0.000,486,486,486,293.000,21.451,22.414,2.872,0.614,2.810,293.000,21.451,22.414,291,19,18,5,6,10
5251,3234,5251,1570,3502417,667.000,0.000,667,667,667,302.278,221.373,36.721,11.074,2.844,11.212,302.279,221.372,36.721,292,209,18,22,26,38
3487,2170,3487,1088,1994564,572.000,0.000,572,572,572,92.972,234.767,32.191,9.544,2.385,9.329,92.974,234.765,32.191,81,226,18,21,17,30
1730,1608,1730,777,1230030,711.000,0.000,711,711,711,256.199,307.731,33.784,8.272,2.925,7.968,256.199,307.730,33.784,250,297,18,14,22,24
847,716,847,352,448063,529.000,0.000,529,529,529,458.621,324.985,24.687,5.701,1.199,5.421,458.623,324.984,24.687,454,320,18,10,14,17
2835,1994,2835,1010,2086560,736.000,0.000,736,736,736,331.014,335.071,33.829,9.527,2.942,9.300,331.018,335.072,33.829,325,323,18,15,24,26
2919,1758,2919,869,1818537,623.000,0.000,623,623,623,7.476,404.642,31.174,8.850,1.954,8.697,7.476,404.643,31.174,0,394,18,15,21,26
763,654,763,310,406679,533.000,0.000,533,533,533,57.292,446.963,25.779,5.468,1.167,5.216,57.292,446.964,25.779,53,441,18,9,12,17
6923,3846,6923,1983,5600707,809.000,0.000,809,809,809,286.294,459.643,43.416,14.025,5.313,13.507,286.297,459.642,43.416,275,448,18,24,21,50
3024,2016,3024,1015,1769040,585.000,0.000,585,585,585,149.114,10.870,31.078,9.050,2.042,8.918,149.114,10.870,31.078,138,3,19,23,17,27
66,136,66,48,32142,487.000,0.000,487,487,487,139.576,43.621,22.621,2.371,0.771,2.225,139.576,43.621,22.621,138,42,19,4,4,9
779,678,779,312,426892,548.000,0.000,548,548,548,168.488,160.576,27.662,5.561,1.174,5.252,168.488,160.576,27.662,164,156,19,10,11,17
782,706,782,395,445740,570.000,0.000,570,570,570,408.962,196.173,27.774,5.728,1.629,5.433,408.961,196.173,27.774,403,192,19,11,9,20
807,786,807,391,469674,582.000,0.000,582,582,582,32.672,335.787,28.074,6.004,1.916,5.734,32.672,335.787,28.074,26,331,19,13,10,21
2110,1500,2110,716,1415810,671.000,0.000,671,671,671,435.882,474.528,34.514,8.601,2.935,8.004,435.879,474.526,34.514,429,467,19,14,16,30
1624,1212,1624,593,912688,562.000,0.000,562,562,562,132.829,479.942,30.185,7.856,2.683,7.356,132.828,479.942,30.185,127,473,19,12,15,27
326,504,326,324,157784,484.000,0.000,484,484,484,246.270,501.242,20.488,5.760,2.672,5.468,246.270,501.242,20.488,237,492,19,19,19,3
1323,1114,1323,557,855981,647.000,0.000,647,647,647,281.946,498.406,33.268,7.310,2.517,6.805,281.946,498.406,33.268,277,491,19,10,15,28
5850,3368,5850,1657,3989700,682.000,0.000,682,682,682,90.657,44.109,38.770,11.526,3.057,11.289,90.656,44.109,38.770,82,34,20,21,23,41
599,668,599,299,321064,536.000,0.000,536,536,536,95.339,111.953,27.693,5.207,1.461,5.233,95.339,111.953,27.693,91,107,20,10,11,16
194,266,194,118,95060,490.000,0.000,490,490,490,180.155,148.680,23.629,3.369,0.820,3.271,180.155,148.680,23.629,178,146,20,6,7,10
877,746,877,343,505152,576.000,0.000,576,576,576,97.731,161.442,28.691,5.758,1.148,5.472,97.731,161.442,28.691,92,157,20,11,11,18
1341,1004,1341,461,777780,580.000,0.000,580,580,580,59.972,220.441,29.113,6.652,1.374,6.313,59.972,220.441,29.113,55,214,20,11,14,20
483,506,483,336,223146,462.000,0.000,462,462,462,358.201,265.468,21.609,5.123,1.791,5.043,358.201,265.468,21.609,354,256,20,10,18,4
12,42,12,10,5736,478.000,0.000,478,478,478,253.000,285.000,21.500,1.194,0.161,1.118,253.000,285.000,21.500,252,284,20,3,3,4
236,350,236,236,135228,573.000,0.000,573,573,573,0.504,296.708,27.369,4.293,1.647,4.387,0.504,296.708,27.369,0,292,20,2,11,15
299,398,299,169,161759,541.000,0.000,541,541,541,7.645,358.140,25.288,4.107,1.155,3.865,7.645,358.141,25.288,4,354,20,8,9,12
1527,1098,1527,552,876498,574.000,0.000,574,574,574,54.599,407.459,28.627,6.905,1.267,6.868,54.600,407.457,28.627,48,402,20,15,13,20
667,612,667,277,375521,563.000,0.000,563,563,563,479.814,485.637,26.763,5.205,1.012,5.013,479.814,485.638,26.763,475,481,20,11,10,16
147,250,147,98,78498,534.000,0.000,534,534,534,510.333,490.116,25.320,3.160,1.041,2.993,510.333,490.116,25.320,508,488,20,7,6,12
2743,1838,2743,904,1983189,723.000,0.000,723,723,723,263.248,495.897,36.317,9.443,3.119,9.001,263.249,495.897,36.317,256,489,20,19,15,34
237,312,237,128,129402,546.000,0.000,546,546,546,368.544,509.688,26.114,3.627,0.875,3.369,368.544,509.688,26.114,366,506,20,6,8,13
1404,1168,1404,537,912600,650.000,0.000,650,650,650,270.815,8.361,33.957,7.168,2.178,6.777,270.814,8.361,33.957,265,1,21,12,14,25
208,290,208,125,108368,521.000,0.000,521,521,521,161.596,16.135,25.625,3.416,0.918,3.427,161.596,16.135,25.625,159,13,21,7,7,11
3341,2010,3341,1064,1670500,500.000,0.000,500,500,500,267.760,24.234,28.953,9.488,2.114,9.427,267.758,24.234,28.953,260,14,21,19,21,24
658,614,658,329,385588,586.000,0.000,586,586,586,327.729,103.916,28.040,5.210,1.221,5.124,327.729,103.916,28.040,324,98,21,8,15,12
120,212,120,81,64440,537.000,0.000,537,537,537,316.325,134.125,26.242,3.048,1.079,2.837,316.325,134.125,26.242,314,132,21,5,5,12
2203,1468,2203,787,1359251,617.000,0.000,617,617,617,399.608,206.128,32.794,8.194,2.031,8.091,399.608,206.128,32.794,391,200,21,18,14,22
103,212,103,76,56856,552.000,0.000,552,552,552,378.146,245.039,26.417,3.232,1.446,2.898,378.146,245.039,26.417,376,243,21,5,5,13
82,152,82,57,43296,528.000,0.000,528,528,528,476.939,264.622,24.915,2.469,0.690,2.339,476.939,264.622,24.915,475,263,21,5,4,9
1498,1098,1498,559,981190,655.000,0.000,655,655,655,132.503,267.049,32.394,7.158,1.900,6.777,132.503,267.047,32.394,128,262,21,11,12,23
2756,1654,2756,828,1741792,632.000,0.000,632,632,632,482.789,303.276,33.109,8.723,1.929,8.681,482.792,303.277,33.109,475,296,21,19,16,25
1153,804,1153,438,673352,584.000,0.000,584,584,584,115.341,462.267,28.123,6.195,0.809,6.070,115.341,462.267,28.123,110,457,21,13,12,13
1196,864,1196,465,779792,652.000,0.000,652,652,652,121.139,120.055,30.949,6.343,1.053,6.176,121.140,120.055,30.949,115,115,22,13,13,15
253,338,253,144,143704,568.000,0.000,568,568,568,128.885,129.407,28.561,3.924,1.281,3.603,128.885,129.407,28.561,126,126,22,7,7,15
424,452,424,210,242104,571.000,0.000,571,571,571,194.118,217.158,27.493,4.395,0.969,4.245,194.118,217.158,27.493,188,214,22,12,7,12
2441,1618,2441,864,1769725,725.000,0.000,725,725,725,378.612,232.486,33.984,8.665,2.185,8.530,378.610,232.487,33.984,372,225,22,15,17,22
94,168,94,65,50666,539.000,0.000,539,539,539,138.468,285.191,25.926,2.717,0.899,2.549,138.468,285.191,25.926,137,283,22,4,5,10
143,236,143,143,70642,494.000,0.000,494,494,494,275.657,293.552,22.476,3.592,1.544,3.504,275.657,293.552,22.476,272,287,22,8,14,2
3370,2342,3370,1174,2126470,631.000,0.000,631,631,631,271.832,298.107,35.272,9.824,2.715,10.195,271.832,298.108,35.271,264,287,22,17,24,28
192,282,192,106,107520,560.000,0.000,560,560,560,474.729,337.854,27.042,3.314,0.679,3.271,474.729,337.854,27.042,470,335,22,9,7,10
2104,1578,2104,777,1306584,621.000,0.000,621,621,621,23.173,347.653,30.314,8.068,1.971,8.114,23.173,347.654,30.314,13,340,22,19,18,18
3134,1834,3134,948,2099780,670.000,0.000,670,670,670,498.754,391.229,37.230,9.493,2.643,9.034,498.751,391.231,37.231,491,381,22,15,19,33
3963,2462,3963,1275,2738433,691.000,0.000,691,691,691,76.888,398.806,35.699,9.994,2.498,10.224,76.889,398.810,35.698,66,391,22,23,19,26
154,236,154,101,83468,542.000,0.000,542,542,542,2.416,436.617,25.766,3.023,0.680,2.984,2.416,436.617,25.766,0,434,22,6,6,9
2061,1436,2061,715,1521018,738.000,0.000,738,738,738,143.235,475.609,40.808,8.545,2.974,7.934,143.235,475.610,40.808,137,469,22,15,14,34
1948,1214,1948,588,1217500,625.000,0.000,625,625,625,46.719,490.397,32.007,7.576,1.398,7.121,46.719,490.396,32.007,40,484,22,15,14,22
776,658,776,365,463272,597.000,0.000,597,597,597,227.352,2.651,30.335,5.515,1.215,5.361,227.352,2.651,30.335,221,0,23,12,8,16
1227,976,1227,548,825771,673.000,0.000,673,673,673,253.693,21.267,32.976,6.606,1.597,6.614,253.693,21.266,32.976,246,15,23,16,13,17
2739,1976,2739,986,1783089,651.000,0.000,651,651,651,74.018,43.742,38.687,9.652,3.369,9.092,74.018,43.742,38.688,68,35,23,12,21,34
1847,1310,1847,787,1176539,637.000,0.000,637,637,637,2.372,45.539,35.184,8.052,2.483,8.029,2.372,45.539,35.184,0,37,23,9,19,26
2547,2032,2547,1025,1748776,686.602,10.885,696,674,696,52.622,51.329,38.409,8.255,3.206,7.818,52.620,51.345,38.507,45,43,23,16,16,32
2029,1480,2029,852,1468996,724.000,0.000,724,724,724,2.528,65.901,39.692,8.860,3.259,8.453,2.528,65.901,39.692,0,58,23,8,20,31
481,532,481,247,301587,627.000,0.000,627,627,627,326.050,93.834,31.767,4.793,1.390,4.441,326.050,93.834,31.767,322,90,23,9,8,18
142,230,142,91,77958,549.000,0.000,549,549,549,75.803,174.303,27.232,3.086,0.873,3.042,75.803,174.303,27.232,73,172,23,8,5,10
7850,4978,7850,2705,5330769,679.079,10.179,687,666,687,48.578,207.072,39.070,12.224,3.957,12.620,48.557,207.091,39.169,38,190,23,21,34,36
871,712,871,371,450307,517.000,0.000,517,517,517,402.393,312.378,26.977,5.750,1.153,5.512,402.393,312.378,26.977,396,307,23,15,11,13
2114,1434,2114,757,1388898,657.000,0.000,657,657,657,85.338,370.061,33.141,7.859,1.485,7.776,85.338,370.062,33.141,79,360,23,15,22,17
1502,1546,1502,751,857200,570.706,10.510,575,545,575,82.480,499.198,29.775,7.196,2.055,6.948,82.481,499.207,29.811,73,487,23,18,20,17
2303,1680,2303,904,1402527,609.000,0.000,609,609,609,238.199,499.726,32.859,8.414,2.146,8.380,238.199,499.728,32.859,232,490,23,12,19,23
272,334,272,212,140896,518.000,0.000,518,518,518,249.364,503.993,24.000,4.012,1.337,4.146,249.364,503.993,24.000,245,498,23,11,12,3
1220,988,1220,587,830820,681.000,0.000,681,681,681,497.875,2.789,37.769,7.802,3.174,7.098,497.875,2.789,37.769,493,0,24,11,9,29
1993,1242,1993,647,1301429,653.000,0.000,653,653,653,366.990,123.551,34.933,7.826,1.874,7.292,366.990,123.551,34.933,362,117,24,12,14,24
7676,3980,7676,2131,5741648,748.000,0.000,748,748,748,56.119,131.041,44.787,13.144,3.967,12.729,56.120,131.041,44.787,46,120,24,23,28,41
4689,2428,4689,1374,2827467,603.000,0.000,603,603,603,371.107,262.433,33.950,10.626,2.366,10.520,371.108,262.433,33.950,364,249,24,16,27,25
646,644,646,303,400520,620.000,0.000,620,620,620,104.074,307.467,33.452,5.844,2.173,5.285,104.074,307.467,33.452,101,303,24,8,10,23
8949,4038,8949,2210,6810189,761.000,0.000,761,761,761,288.668,358.441,47.915,14.360,4.723,13.578,288.660,358.436,47.915,281,346,24,21,26,44
464,538,464,250,280720,605.000,0.000,605,605,605,278.407,362.634,30.881,4.736,1.350,4.797,278.407,362.634,30.881,275,356,24,7,13,15
3754,2294,3754,1254,2935628,782.000,0.000,782,782,782,250.619,393.646,48.067,11.227,4.463,9.987,250.620,393.648,48.068,244,382,24,14,21,44
1406,1134,1406,632,989824,704.000,0.000,704,704,704,217.066,441.485,38.684,7.708,2.881,7.179,217.066,441.485,38.684,213,436,24,9,14,30
105,180,105,68,59220,564.000,0.000,564,564,564,51.771,503.105,27.238,2.607,0.547,2.581,51.771,503.105,27.238,50,500,24,5,7,7
459,538,459,334,238221,519.000,0.000,519,519,519,144.447,1.887,28.939,4.906,1.539,4.880,144.447,1.887,28.939,138,0,25,13,8,13
2338,1504,2338,723,1650628,706.000,0.000,706,706,706,36.643,55.086,38.367,8.216,2.098,7.841,36.643,55.086,38.367,30,49,25,15,14,27
1243,1072,1243,518,745800,600.000,0.000,600,600,600,67.805,160.994,32.308,6.753,1.641,6.686,67.805,160.994,32.308,61,152,25,15,17,17
188,286,188,116,112988,601.000,0.000,601,601,601,434.888,179.473,31.271,3.680,1.332,3.356,434.888,179.473,31.271,433,177,25,5,6,14
163,246,163,99,96007,589.000,0.000,589,589,589,418.712,213.712,29.736,3.205,0.887,3.107,418.711,213.712,29.736,416,211,25,6,6,11
185,292,185,120,109150,590.000,0.000,590,590,590,458.827,231.514,31.276,3.817,1.571,3.595,458.827,231.514,31.276,457,229,25,5,6,15
236,308,236,134,142072,602.000,0.000,602,602,602,283.343,245.657,31.242,3.712,1.075,3.368,283.343,245.657,31.242,281,243,25,6,6,14
8605,4202,8605,2400,4767170,554.000,0.000,554,554,554,349.778,269.230,34.739,13.171,3.415,13.396,349.777,269.233,34.740,330,257,25,36,25,25
7504,4332,7504,2010,5913152,788.000,0.000,788,788,788,413.868,286.099,50.007,13.214,4.005,12.650,413.869,286.100,50.007,402,275,25,26,22,43
3703,2080,3703,1097,2636536,712.000,0.000,712,712,712,426.725,314.382,42.299,10.565,3.683,9.831,426.724,314.384,42.299,417,309,25,19,13,39
198,312,198,198,105336,532.000,0.000,532,532,532,270.283,383.475,25.495,3.889,1.459,3.953,270.283,383.475,25.495,264,378,25,12,14,2
4908,2866,4908,1367,3509220,715.000,0.000,715,715,715,184.602,485.205,41.963,11.390,3.302,11.046,184.602,485.207,41.963,174,476,25,21,20,37
605,566,605,299,384780,636.000,0.000,636,636,636,103.661,36.574,34.081,5.293,1.629,4.891,103.661,36.574,34.081,101,33,26,7,9,18
3060,1742,3060,968,1881900,615.000,0.000,615,615,615,61.301,143.229,35.509,8.966,1.919,8.853,61.301,143.229,35.509,53,134,26,16,19,27
1772,1146,1772,659,1220908,689.000,0.000,689,689,689,512.348,262.622,37.816,7.599,2.035,7.207,512.348,262.621,37.816,506,256,26,11,14,25
520,510,520,260,289120,556.000,0.000,556,556,556,251.312,280.073,30.225,4.794,0.959,4.693,251.312,280.073,30.225,247,274,26,10,12,10
7405,3628,7405,1887,5849950,790.000,0.000,790,790,790,373.816,335.080,49.483,13.561,4.658,12.873,373.814,335.079,49.483,364,322,26,20,27,42
4104,2430,4104,1280,3250368,792.000,0.000,792,792,792,49.930,362.736,45.799,10.777,3.436,10.400,49.931,362.735,45.799,40,355,26,19,16,39
237,312,237,156,143622,606.000,0.000,606,606,606,2.080,418.283,30.287,3.474,0.741,3.451,2.080,418.283,30.287,0,415,26,6,8,10
7041,3602,7041,1809,5435652,772.000,0.000,772,772,772,198.932,463.363,47.766,12.817,3.776,12.206,198.931,463.350,47.766,188,453,26,24,21,42
374,442,374,237,242352,648.000,0.000,648,648,648,290.524,502.334,34.340,4.495,1.514,4.167,290.524,502.334,34.340,288,499,26,6,8,17
1263,1110,1263,537,876522,694.000,0.000,694,694,694,498.497,506.769,36.005,6.919,2.013,6.715,498.497,506.769,36.005,489,500,26,16,12,22
173,278,173,113,105876,612.000,0.000,612,612,612,66.017,52.104,32.578,3.530,1.290,3.435,66.017,52.104,32.578,64,49,27,5,7,13
154,226,154,94,92092,598.000,0.000,598,598,598,339.974,65.201,31.117,3.119,0.805,2.936,339.974,65.201,31.117,338,63,27,5,6,10
5665,2946,5665,1588,3948505,697.000,0.000,697,697,697,73.714,111.641,40.322,11.351,2.731,11.279,73.713,111.642,40.322,60,103,27,26,21,32
5056,2868,5056,1507,3635264,719.000,0.000,719,719,719,256.403,172.824,41.806,10.995,2.761,10.779,256.404,172.824,41.806,248,159,27,19,32,33
2087,1448,2087,728,1431682,686.000,0.000,686,686,686,82.433,190.017,36.062,8.145,2.139,7.856,82.433,190.017,36.062,75,181,27,14,17,24
1427,926,1427,570,953236,668.000,0.000,668,668,668,19.614,268.053,32.206,6.657,0.949,6.561,19.614,268.053,32.206,12,261,27,15,14,11
