Volume (pixel^3),Surface (pixel^2),Nb of obj. voxels,Nb of surf. voxels,IntDen,Mean,StdDev,Median,Min,Max,X,Y,Z,Mean dist. to surf. (pixel),SD dist. to surf. (pixel),Median dist. to surf. (pixel),XM,YM,ZM,BX,BY,BZ,B-width,B-height,B-depth
710,694,710,312,208740,294.000,0.000,294,294,294,488.013,505.587,12.623,5.336,1.168,5.406,488.014,505.588,12.623,481,501,6,14,9,16
751,734,751,357,243324,324.000,0.000,324,324,324,344.482,512.388,12.041,5.407,1.120,5.408,344.481,512.388,12.041,339,505,6,12,12,14
2033,1732,2033,818,762375,375.000,0.000,375,375,375,474.304,509.513,16.596,8.024,2.134,7.812,474.304,509.512,16.596,469,501,6,18,16,22
2703,1642,2703,955,1478541,547.000,0.000,547,547,547,152.552,512.342,22.053,9.262,2.941,8.886,152.553,512.342,22.052,143,504,6,17,13,33
3251,2112,3251,1125,1410934,434.000,0.000,434,434,434,106.686,6.125,21.424,9.393,2.330,9.323,106.685,6.125,21.424,97,0,7,23,15,30
5327,3018,5327,1414,2397150,450.000,0.000,450,450,450,127.271,27.065,19.802,10.946,2.059,10.614,127.270,27.065,19.802,115,15,7,26,24,29
44,116,44,34,9416,214.000,0.000,214,214,214,378.932,39.182,10.409,2.164,0.773,2.000,378.932,39.182,10.409,377,37,7,4,5,8
106,178,106,72,25440,240.000,0.000,240,240,240,230.198,45.925,10.415,2.668,0.650,2.583,230.198,45.925,10.415,228,44,7,6,5,9
968,864,968,399,318472,329.000,0.000,329,329,329,93.094,83.718,14.671,5.947,1.176,5.796,93.094,83.718,14.671,88,79,7,11,11,18
3293,2116,3293,1029,1560882,474.000,0.000,474,474,474,340.730,120.417,23.218,9.571,2.746,9.197,340.730,120.417,23.218,334,111,7,14,21,33
5021,2926,5021,1460,2199198,438.000,0.000,438,438,438,54.019,135.244,19.953,10.767,2.108,10.583,54.020,135.245,19.953,41,124,7,28,23,28
1085,1180,1085,508,362390,334.000,0.000,334,334,334,87.221,155.044,14.060,6.401,1.822,6.361,87.221,155.044,14.060,80,147,7,14,18,16
2187,1482,2187,819,1076004,492.000,0.000,492,492,492,194.570,162.939,20.257,8.324,2.169,8.086,194.572,162.939,20.257,188,156,7,16,16,23
1184,860,1184,432,430976,364.000,0.000,364,364,364,223.007,176.742,14.217,6.326,1.023,6.256,223.008,176.742,14.217,217,171,7,13,12,17
5254,3276,5254,1601,2406332,458.000,0.000,458,458,458,429.796,202.215,21.620,12.050,3.621,11.583,429.795,202.213,21.620,415,193,7,32,19,32
927,754,927,365,339282,366.000,0.000,366,366,366,34.875,227.930,15.186,5.821,1.163,5.619,34.875,227.930,15.186,30,223,7,11,11,17
1866,1346,1866,624,890082,477.000,0.000,477,477,477,492.474,249.706,18.991,7.699,1.826,7.253,492.476,249.706,18.991,485,241,7,15,17,24
521,540,521,251,177140,340.000,0.000,340,340,340,507.094,247.537,13.683,4.748,1.016,4.583,507.093,247.537,13.683,503,242,7,9,10,16
1120,990,1120,454,518560,463.000,0.000,463,463,463,460.562,272.669,18.318,6.631,2.019,6.384,460.560,272.670,18.318,455,268,7,13,11,23
2977,1786,2977,830,1208662,406.000,0.000,406,406,406,66.914,282.486,16.913,8.982,1.792,8.519,66.915,282.486,16.913,59,268,7,17,23,23
1162,1068,1162,494,472934,407.000,0.000,407,407,407,470.670,283.153,15.676,6.821,2.063,6.692,470.670,283.152,15.676,465,275,7,14,16,20
247,296,247,164,70148,284.000,0.000,284,284,284,457.960,320.939,11.514,3.679,0.945,3.624,457.960,320.939,11.514,456,317,7,6,7,10
162,254,162,103,56052,346.000,0.000,346,346,346,278.426,323.136,13.531,3.383,1.204,3.069,278.426,323.136,13.531,276,320,7,5,7,13
1356,978,1356,464,471888,348.000,0.000,348,348,348,73.515,339.535,15.084,6.679,1.245,6.605,73.515,339.536,15.084,67,333,7,14,14,18
1534,1230,1534,592,628940,410.000,0.000,410,410,410,270.587,381.254,16.337,7.225,1.739,7.050,270.586,381.254,16.337,262,375,7,20,16,17
2672,1548,2672,763,1098192,411.000,0.000,411,411,411,491.200,402.545,16.988,8.492,1.448,8.336,491.200,402.545,16.988,482,394,7,17,18,24
2545,1504,2545,772,1051085,413.000,0.000,413,413,413,482.635,418.215,17.084,8.487,1.715,8.188,482.635,418.215,17.084,475,410,7,17,18,22
1330,996,1330,510,474810,357.000,0.000,357,357,357,405.465,459.298,14.583,6.823,1.440,6.640,405.465,459.298,14.583,400,451,7,16,15,16
