@relation TWS-3D-v3.3.1-grayscale

@attribute original numeric
@attribute Gaussian_blur_1.0 numeric
@attribute Derivatives_1_1_1_1.0 numeric
@attribute Derivatives_2_2_2_1.0 numeric
@attribute Derivatives_3_3_3_1.0 numeric
@attribute Derivatives_4_4_4_1.0 numeric
@attribute Derivatives_5_5_5_1.0 numeric
@attribute Gaussian_blur_2.0 numeric
@attribute Derivatives_1_1_1_2.0 numeric
@attribute Derivatives_2_2_2_2.0 numeric
@attribute Derivatives_3_3_3_2.0 numeric
@attribute Derivatives_4_4_4_2.0 numeric
@attribute Derivatives_5_5_5_2.0 numeric
@attribute Gaussian_blur_4.0 numeric
@attribute Derivatives_1_1_1_4.0 numeric
@attribute Derivatives_2_2_2_4.0 numeric
@attribute Derivatives_3_3_3_4.0 numeric
@attribute Derivatives_4_4_4_4.0 numeric
@attribute Derivatives_5_5_5_4.0 numeric
@attribute Gaussian_blur_8.0 numeric
@attribute Derivatives_1_1_1_8.0 numeric
@attribute Derivatives_2_2_2_8.0 numeric
@attribute Derivatives_3_3_3_8.0 numeric
@attribute Derivatives_4_4_4_8.0 numeric
@attribute Derivatives_5_5_5_8.0 numeric
@attribute class {Cell,Background,Garbage}

@data
175,147.36824,0.585817,-1.09838,-7.231687,-46.051701,156.68959,123.682243,0.338987,0.043157,0.014519,0.016799,-0.000491,87.709297,0.025547,0.000187,-0.000039,-0.000005,0,54.116936,0.002328,-0.000028,0,0,0,Cell
70,72.836342,1.65767,-1.339402,-8.658668,-46.126015,212.016907,73.372314,0.267065,0.084437,-0.010947,-0.002034,0.01156,59.080212,0.015737,-0.000216,-0.000025,-0.000002,0,47.97995,-0.007006,-0.000002,-0,-0,-0,Cell
90,92.662148,0.4079,-0.37942,9.651685,58.662544,-310.677307,87.082306,0.295997,0.027206,0.001335,-0.003093,0.00162,63.884201,0.01794,-0.000604,-0.000023,0.000002,0,49.559757,-0.005869,-0.000003,-0,-0,-0,Cell
94,119.903175,0.471366,6.101478,-0.292063,-177.135666,10.221113,99.970634,0.353659,-0.058422,0.005397,-0.009186,-0.006981,68.291939,0.019754,-0.000905,-0.000019,0.000007,0,51.106186,-0.004597,-0.000003,-0,-0,-0,Cell
164,151.409134,2.506157,5.053647,-5.308534,46.793015,285.664978,109.152748,0.405751,-0.126747,-0.003836,-0.007315,-0.009912,72.201256,0.020817,-0.00102,-0.000008,0.000008,0,52.585007,-0.003254,-0.000004,-0,-0,-0,Cell
227,165.352188,3.604486,-4.381677,3.456403,149.856186,-156.085678,111.765289,0.345172,-0.127185,-0.015773,0.004868,0.000866,75.635666,0.021058,-0.000914,0.000008,0.000007,0,53.960442,-0.001903,-0.000006,-0,-0,-0,Cell
182,144.477371,1.962215,-2.614305,-3.001384,-119.916443,-104.899513,107.508987,0.106464,-0.050875,-0.014835,0.006745,0.01652,78.74218,0.020947,-0.000626,0.000029,0.000004,-0,55.195957,-0.000609,-0.000008,-0,-0,-0,Cell
92,104.564896,-1.568352,0.889089,1.993866,85.200279,60.226624,99.904297,-0.249209,0.045313,0.007336,-0.006729,0.008877,81.736252,0.021515,-0.000268,0.00005,0.000001,-0,56.25602,0.000568,-0.00001,-0,-0,-0,Cell
48,80.290443,-5.702848,1.03499,8.052747,-153.87709,92.127258,94.731911,-0.558746,0.084954,0.035663,-0.010154,-0.020135,84.806519,0.024003,0.000032,0.000063,-0.000002,-0.000001,57.108177,0.001572,-0.000013,-0,-0,-0,Cell
66,82.473557,-5.827083,0.015995,-4.636928,-19.525719,-84.118782,96.778694,-0.659276,0.045866,0.03456,0.009591,-0.025862,88.011177,0.029218,0.000181,0.00006,-0.000002,-0.000001,57.723793,0.00236,-0.000017,-0,-0,0,Cell
